因子名,因子含义
admin_expense_to_gr,管理费用/营业总收入
ar_turn,应收账款周转率
ar_turndays,应收账款周转天数
assets_to_equity,权益乘数
assets_turn,总资产周转率
bps,每股净资产
ca_to_assets,流动资产/总资产
ca_turn,流动资产周转率
capitalized_to_da,资本支出/折旧和摊销
cash_ratio,保守速动比率
cash_to_liqdebt,货币资金／流动负债
cash_to_liqdebt_with_interest,货币资金／带息流动负债
cfps,每股现金流量净额
cogs_to_sales,销售成本率
comp_code,公司ID
currency_code,货币代码
current_debt_to_debt,流动负债/负债合计
current_ratio,流动比率
debt_to_assets,资产负债率
debt_to_equity,产权比率
deducted_profit,扣除非经常性损益后的净利润(扣除少数股东损益)
deducted_profit_to_profit,扣除非经常损益后的净利润/净利润
dupont_assets_to_equity,权益乘数(用于杜邦分析)
dupont_roa,总资产净利率(杜邦分析)
ebit,息税前利润
ebit_to_gr,息税前利润/营业总收入
ebit_to_interest,已获利息倍数(EBIT/利息费用)
ebitda,息税折旧摊销前利润
ebitda_to_debt,息税折旧摊销前利润/负债合计
ebitps,每股息税前利润
eps_basic,基本每股收益
eps_diluted,稀释每股收益
eps_diluted2,期末摊薄每股收益
equity_to_interest_debt,归属于母公司的股东权益/带息债务
equity_to_totalcap,归属于母公司的股东权益/全部投入资本
equity_tod_ebt,归属于母公司的股东权益/负债合计
exchange_int,交易市场代码
exchange_str,交易市场
exinterest_debt_current,无息流动负债
exinterest_debt_noncurrent,无息非流动负债
expense_to_sales,销售期间费用率
extra_ordinary,非经常性损益
fa_turn,固定资产周转率
fcfe,股权自由现金流量(FCFE)
fcfeps,每股股东自由现金流量
fcff,企业自由现金流量(FCFF)
fcffps,每股企业自由现金流量
fina_expense_to_gr,财务费用/营业总收入
gc_to_gr,营业总成本/营业总收入
gross_margin,毛利
gross_profit_margin,销售毛利率
grps,每股营业总收入
impair_to_gr_ttm,资产减值损失/营业总收入
intdebt_to_totalcap,带息债务/全部投入资本
interest_debt,带息债务
inv_turn,存货周转率
inv_turndays,存货周转天数
invest_capital,全部投入资本
invest_income,价值变动净收益
invest_income_to_ebt,价值变动净收益/利润总额
long_debt_to_debt,非流动负债/负债合计
longdebt_to_working_capital,长期债务与营运资金比率
market_code,代码
nca_to_assets,非流动资产/总资产
net_debt,净债务
net_profit_margin,销售净利率
networking_capital,营运流动资本
nonop_profit,非营业利润
nonoperate_profit_to_ebt,营业外收支净额/利润总额
nop_to_ebt,非营业利润／利润总额
ocf_to_debt,经营活动产生的现金流量净额/负债合计
ocf_to_interest_debt,经营活动产生的现金流量净额/带息债务
ocf_to_netdebt,经营活动产生的现金流量净额/净债务
ocf_to_operate_income,经营活动产生的现金流量净额/经营活动净收益
ocf_to_or,经营活动产生的现金流量净额/营业收入
ocf_to_profit,经营活动产生的现金流量净额／营业利润
ocf_to_short_debt,经营活动产生的现金流量净额/流动负债
ocfps,每股经营活动产生的现金流量净额
op_to_debt,营业利润／负债合计
op_to_ebt,营业利润／利润总额
op_to_gr,营业利润/营业总收入
op_to_liqdebt,营业利润／流动负债
operate_income,经营活动净收益
operate_income_to_ebt,经营活动净收益/利润总额
orps,每股营业收入
prefin_expense_opprofit,扣除财务费用前营业利润
profit_to_gr,净利润/营业总收入
profit_toop,利润总额／营业收入
q_admin_expense_to_gr,单季度.管理费用／营业总收入
q_cgr_gr,单季度.营业总收入环比增长率(%)
q_cgr_netprofit,单季度.归属母公司股东的净利润环比增长率(%)
q_cgr_op,单季度.营业利润环比增长率(%)
q_cgr_profit,单季度.净利润环比增长率(%)
q_cgr_sales,单季度.营业收入环比增长率(%)
q_deducted_profit,单季度.扣除非经常损益后的净利润
q_deducted_profit_to_profit,单季度.扣除非经常损益后的净利润／净利润
q_eps,单季度.每股收益
q_expense_to_sales,单季度.销售期间费用率
q_fina_expense_to_gr,单季度.财务费用／营业总收入
q_gc_to_gr,单季度.营业总成本／营业总收入
q_gross_profit_margin,单季度.销售毛利率
q_impair_to_gr_ttm,单季度.资产减值损失／营业总收入
q_invest_income,单季度.价值变动净收益
q_invest_income_to_ebt,单季度.价值变动净收益／利润总额
q_net_profit_margin,单季度.销售净利率
q_ocf_to_or,单季度.经营活动产生的现金流量净额／经营活动净收益
q_ocf_to_sales,单季度.经营活动产生的现金流量净额／营业收入
q_op_to_gr,单季度.营业利润／营业总收入
q_operate_income,单季度.经营活动净收益
q_operate_income_to_ebt,单季度.经营活动净收益／利润总额
q_profit_to_gr,单季度.净利润／营业总收入
q_roa,单季度.总资产净利润
q_roe,单季度.净资产收益率
q_roe_deducted,单季度.净资产收益率(扣除非经常损益)
q_sale_expense_to_gr,单季度.销售费用／营业总收入
q_sales_cash_in_to_or,单季度.销售商品提供劳务收到的现金／营业收入
q_yoy_equity,净资产(同比增长率)
q_yoy_gr,单季度.营业总收入同比增长率(%)
q_yoy_netprofit,单季度.归属母公司股东的净利润同比增长率(%)
q_yoy_op,单季度.营业利润同比增长率(%)
q_yoy_profit,单季度.净利润同比增长率(%)
q_yoy_sales,单季度.营业收入同比增长率(%)
quick_ratio,速动比率
rd_expense,研发费用
report_period,报告期
report_type,报告期名称
retained_earnings,留存收益
retained_ps,每股留存收益
roa,总资产净利率
roa2,总资产报酬率
roa2_yearly,年化总资产报酬率
roa_yearly,年化总资产净利率
roe,净资产收益率
roe_avg,平均净资产收益率(增发条件)
roe_deducted,净资产收益率(扣除非经常损益)
roe_yearly,年化净资产收益率
roic,投入资本回报率
roic_yearly,年化投入资本回报率
sale_expense_to_gr,销售费用/营业总收入
sales_cash_in_to_or,销售商品提供劳务收到的现金/营业收入
security_name,证券简称
stm_bs,固定资产合计
stm_is,折旧与摊销
stmnote_finexp,利息费用
surplus_capital_ps,每股资本公积
surplus_reserve_ps,每股盈余公积
tang_asset_to_int_debt,有形资产/带息债务
tangible_asset,有形资产
tangible_asset_to_debt,有形资产/负债合计
tangible_asset_to_netdebt,有形资产/净债务
tangible_assets_to_assets,有形资产/总资产
tax_to_ebt,所得税/利润总额
tot_faturn,固定资产合计周转率
turndays,营业周期
type_code,证券类别
type_code_int,证券类别代码
undistributed_ps,每股未分配利润
waa_roe,加权平均净资产收益率
working_capital,营运资金
yoy_assets,相对年初增长率-资产总计(%)
yoy_bps,相对年初增长率-每股净资产(%)
yoy_ebt,同比增长率-利润总额(%)
yoy_eps_basic,同比增长率-基本每股收益(%)
yoy_eps_diluted,同比增长率-稀释每股收益(%)
yoy_equity,相对年初增长率-归属母公司的股东权益(%)
yoy_netprofit,同比增长率-归属母公司股东的净利润(%)
yoy_netprofit_deducted,同比增长率-归属母公司股东的净利润-扣除非经常损益(%)
yoy_ocf,同比增长率-经营活动产生的现金流量净额(%)
yoy_ocfps,同比增长率-每股经营活动产生的现金流量净额(%)
yoy_op,同比增长率-营业利润(%)
yoy_or,营业收入同比增长率(%)
yoy_roe,同比增长率-净资产收益率(摊薄)(%)
yoy_tr,营业总收入同比增长率(%)
acc_payable,应付票据及应付账款
acc_receivable,应收票据及应收账款
acc_receivables,应收款项
accrued_exp,预提费用
acct_payable,应付账款
acct_receivable,应收账款
act_trading_sec,代理买卖证券款
act_uw_sec,代理承销证券款
actual_ann_date,实际公告日期
adv_prem,预收保费
adv_receipt,预收款项
agency_assets,代理业务资产
agency_business_liab,代理业务负债
ann_date,公告日期
anticipation_liab,预计负债
asset_dep_funds_oth_fin_inst,存放同业和其它金融机构款项
bonds_payable,应付债券
cap_resv,资本公积金
cap_stock,股本
cash_central_bank_deposits,现金及存放中央银行款项
ced_insur_cont_reserves_rcv,应收分保合同准备金
claims_payable,应付赔付款
clients_fund_deposit,客户资金存款
clients_reserves,客户备付金
cnvd_diff_foreign_curr_stat,外币报表折算差额
comp_id,公司ID
comp_type_code,公司类型代码
const_in_proc,在建工程
const_in_proc_total,在建工程(合计)(元)
consump_bio_assets,消耗性生物资产
cont_assets,合同资产
cont_liabilities,合同负债
currency_cap,货币资金
currency_code,货币代码
debt_inv,债权投资(元)
deferred_inc_noncur_liab,递延收益-非流动负债
deferred_income,递延收益
deferred_tax_assets,递延所得税资产
deferred_tax_liab,递延所得税负债
dep_received_ib_dep,吸收存款及同业存放
deposit_cap_recog,存出资本保证金
deposit_taking,吸收存款
deposits_received,存入保证金
der_fin_assets,衍生金融资产
deri_fin_liab,衍生金融负债
develop_exp,开发支出
disposal_fix_assets,固定资产清理
div_payable,应付股利
div_receivable,应收股利
empl_pay_payable,应付职工薪酬
engin_mat,工程物资
fin_assets_ava_for_sale,可供出售金融资产
fin_assets_cost_sharing,以摊余成本计量的金融资产
fin_assets_fair_value,以公允价值计量且其变动计入其他综合收益的金融资产
fixed_assets,固定资产
fixed_assets_total,固定资产(合计)(元)
fixed_term_deposits,定期存款
goodwill,商誉
gua_deposits_paid,存出保证金
gua_pledge_loans,保户质押贷款
hold_assets_for_sale,持有待售的资产
hold_to_mty_inv,持有至到期投资
inc_pledge_loan,其中-质押借款
incl_trading_seat_fees,其中-交易席位费
ind_acct_assets,独立账户资产
ind_acct_liab,独立账户负债
insured_deposit_inv,保户储金及投资款
insured_div_payable,应付保单红利
int_receivable,应收利息
intangible_assets,无形资产
interest_payable,应付利息
inv,存货
inv_realestate,投资性房地产
lease_liability,租赁负债
lend_funds,融出资金
lending_funds,拆出资金
less_treasury_stk,减-库存股
lia_hfs,持有待售的负债
liab_dep_funds_oth_fin_inst,同业和其它金融机构存放款项
life_insur_resv,寿险责任准备金
loan_central_bank,向中央银行借款
loans_and_advances,发放贷款及垫款
loans_from_oth_banks,拆入资金
lt_deferred_exp,长期待摊费用
lt_emp_comp_pay,长期应付职工薪酬
lt_equity_inv,长期股权投资
lt_health_insur_resv,长期健康险责任准备金
lt_loan,长期借款
lt_payable,长期应付款
lt_payable_total,长期应付款(合计)(元)
lt_receivables,长期应收款
market_code,市场代码
minority_equity,少数股东权益
nom_risks_prep,一般风险准备
noncur_assets_due_within_1y,一年内到期的非流动资产
noncur_liab_due_within_1y,一年内到期的非流动负债
notes_payable,应付票据
notes_receivable,应收票据
oil_and_gas_assets,油气资产
oth_comp_income,其他综合收益
oth_equity_tools,其他权益工具
oth_equity_tools_pre_shr,其他权益工具-优先股
oth_noncur_assets,其他非流动资产
other_assets,其他资产
other_cur_assets,其他流动资产
other_cur_liab,其他流动负债
other_debt_inv,其他债权投资(元)
other_equity_inv,其他权益工具投资(元)
other_liab,其他负债
other_noncur_fin_assets,其他非流动金融资产(元)
other_noncur_liab,其他非流动负债
other_payable,其他应付款
other_payable_total,其他应付款(合计)(元)
other_rcv_total,其他应收款(合计)（元）
other_receivable,其他应收款
other_sustain_bond,其他权益工具-永续债(元)
out_loss_resv,未决赔款准备金
payable,应付款项
payable_for_reinsurer,应付分保账款
precious_metal,贵金属
prepayment,预付款项
prod_bio_assets,生产性生物资产
rcv_ced_claim_resv,应收分保未决赔款准备金
rcv_ced_life_insur_resv,应收分保寿险责任准备金
rcv_ced_lt_health_insur_resv,应收分保长期健康险责任准备金
rcv_ced_unearned_prem_resv,应收分保未到期责任准备金
rcv_financing,应收款项融资
rcv_inv,应收款项类投资
receivable_prem,应收保费
red_mon_cap_for_sale,买入返售金融资产
reinsurance_acc_rcv,应收分保账款
report_type,报告期名称
reporting_period,报告期
rsrv_fund_insur_cont,保险合同准备金
security_name,证券简称
sell_repo_fin_assets,卖出回购金融资产款
service_charge_comm_payable,应付手续费及佣金
settle_funds,结算备付金
spe_assets_bal_diff,资产差额(特殊报表科目)
spe_cur_assets_diff,流动资产差额(特殊报表科目)
spe_cur_liab_diff,流动负债差额(特殊报表科目)
spe_liab_bal_diff,负债差额(特殊报表科目)
spe_liab_equity_bal_diff,负债及股东权益差额(特殊报表项目)
spe_noncur_assets_diff,非流动资产差额(特殊报表科目)
spe_noncur_liab_diff,非流动负债差额(特殊报表科目)
spe_share_equity_bal_diff,股东权益差额(特殊报表科目)
special_payable,专项应付款
special_resv,专项储备
st_bonds_payable,应付短期债券
st_borrowing,短期借款
st_fin_payable,应付短期融资款
statement_type,报表类型
subr_rcv,应收代位追偿款
surplus_resv,盈余公积金
tax_payable,应交税费
tot_assets_bal_diff,资产差额(合计平衡项目)
tot_cur_assets_diff,流动资产差额(合计平衡项目)
tot_cur_liab_diff,流动负债差额(合计平衡项目)
tot_liab_bal_diff,负债差额(合计平衡项目)
tot_liab_equity_bal_diff,负债及股东权益差额(合计平衡项目)
tot_noncur_assets,非流动资产合计
tot_noncur_assets_diff,非流动资产差额(合计平衡项目)
tot_noncur_liab_diff,非流动负债差额(合计平衡项目)
tot_share,期末总股本
tot_share_equity_bal_diff,股东权益差额(合计平衡项目)
tot_share_equity_excl_min_int,股东权益合计(不含少数股东权益)
tot_share_equity_incl_min_int,股东权益合计(含少数股东权益)
total_assets,资产总计
total_cur_assets,流动资产合计
total_cur_liab,流动负债合计
total_liab,负债合计
total_liab_share_equity,负债及股东权益总计
total_noncur_liab,非流动负债合计
trading_fin_liab,交易性金融负债
trading_finassets,交易性金融资产
unamortized_exp,待摊费用
unconfirmed_inv_loss,未确认的投资损失
undistributed_pro,未分配利润
unearned_prem_resv,未到期责任准备金
use_right_assets,使用权资产
absorb_cash_recp_inv,吸收投资收到的现金
actual_ann_date,实际公告日期
amort_intan_assets,无形资产摊销
amort_lt_deferred_exp,长期待摊费用摊销
ann_date,公告日期
beg_bal_cash_cash_equ,期初现金及现金等价物余额
cash_end_bal,现金的期末余额
cash_for_charge,支付手续费的现金
cash_paid_insur_policy,支付保单红利的现金
cash_paid_inv,投资支付的现金
cash_paid_pur_const_fiolta,购建固定资产、无形资产和其他长期资产支付的现金
cash_pay_claims_oic,支付原保险合同赔付款项的现金
cash_pay_dist_div_pro_int,分配股利、利润或偿付利息支付的现金
cash_pay_employee,支付给职工以及为职工支付的现金
cash_pay_for_debt,偿还债务支付的现金
cash_pay_goods_services,购买商品、接受劳务支付的现金
cash_rece_borrow,取得借款收到的现金
cash_rece_issue_bonds,发行债券收到的现金
cash_recp_inv_income,取得投资收益收到的现金
cash_recp_prem_oic,收到原保险合同保费取得的现金
cash_recp_recov_inv,收回投资收到的现金
cash_recp_sg_and_rs,销售商品、提供劳务收到的现金
comp_id,公司ID
comp_type_code,公司类型代码
conv_corp_bonds_due_within_1y,一年内到期的可转换公司债券
conv_debt_into_cap,债务转为资本
credit_impair_loss,信用减值损失
currency_code,货币代码
decr_defe_inc_tax_assets,递延所得税资产减少
decr_deferred_expense,待摊费用减少
decr_inventory,存货的减少
decr_opera_receivable,经营性应收项目的减少
depre_fa_oga_pba,固定资产折旧、油气资产折耗、生产性生物资产折旧
eff_fx_fluc_cash,汇率变动对现金的影响
end_bal_cash_cash_equ,期末现金及现金等价物余额
financial_exp,财务费用
fixed_assets_fin_lease,融资租入固定资产
free_cash_flow,企业自由现金流量
incl_cash_recp_saims,其中-子公司吸收少数股东投资收到的现金
incl_div_pro_paid_sms,其中-子公司支付给少数股东的股利、利润
incr_accrued_exp,预提费用增加
incr_defe_inc_tax_liab,递延所得税负债增加
incr_opera_payable,经营性应付项目的增加
ind_net_cash_flows_opera_act,间接法-经营活动产生的现金流量净额
ind_net_incr_cash_and_equ,间接法-现金及现金等价物净增加额
inv_loss,投资损失
is_calculation,是否计算报表
less_open_bal_cash,减-现金的期初余额
less_open_bal_cash_equ,减-现金等价物的期初余额
loss_disp_fiolta,处置固定、无形资产和其他长期资产的损失
loss_fairvalue_chg,公允价值变动损失
loss_fixed_assets,固定资产报废损失
market_code,市场代码
net_cash_flows_fin_act,筹资活动产生的现金流量净额
net_cash_flows_inv_act,投资活动产生的现金流量净额
net_cash_flows_opera_act,经营活动产生的现金流量净额
net_cash_paid_sobu,取得子公司及其他营业单位支付的现金净额
net_cash_rec_sec,代理买卖证券收到的现金净额
net_cash_recp_disp_fiolta,处置固定资产、无形资产和其他长期资产收回的现金净额
net_cash_recp_disp_sobu,处置子公司及其他营业单位收到的现金净额
net_cash_recp_reinsu_bus,收到再保业务现金净额
net_incr_borr_fund,拆入资金净增加额
net_incr_borr_ofi,向其他金融机构拆入资金净增加额
net_incr_cash_and_cash_equ,现金及现金等价物净增加额
net_incr_cus_loan_adv,客户贷款及垫款净增加额
net_incr_dep_cb_ib,存放央行和同业款项净增加额
net_incr_dep_cus_and_ib,客户存款和同业存放款项净增加额
net_incr_dismantle_cap,拆出资金净增加额
net_incr_disp_faas,处置可供出售金融资产净增加额
net_incr_disp_tfa,处置交易性金融资产净增加额
net_incr_insured_save,保户储金净增加额
net_incr_int_and_charge,收取利息和手续费净增加额
net_incr_loans_central_bank,向中央银行借款净增加额
net_incr_pledge_loan,质押贷款净增加额
net_incr_repu_bus_fund,回购业务资金净增加额
net_profit,净利润
oth_cash_pay_inv_act,支付其他与投资活动有关的现金
oth_cash_pay_opera_act,支付其他与经营活动有关的现金
oth_cash_recp_inv_act,收到其他与投资活动有关的现金
other_assets_impair_loss,其他资产减值损失
other_cash_pay_fin_act,支付其他与筹资活动有关的现金
other_cash_recp_fin_act,收到其他与筹资活动有关的现金
other_cash_recp_oper_act,收到其他与经营活动有关的现金
others,其他（废弃）
pay_all_tax,支付的各项税费
plus_assets_depre_prep,加-资产减值准备
plus_end_bal_cash_equ,加-现金等价物的期末余额
recp_tax_refund,收到的税费返还
report_type,报告期名称
reporting_period,报告期
security_name,证券简称
spe_bal_cash_inflow_fin_act,筹资活动现金流入差额
spe_bal_cash_inflow_inv_act,投资活动现金流入差额
spe_bal_cash_inflow_opera_act,经营活动现金流入差额
spe_bal_cash_outflow_fin,筹资活动现金流出差额
spe_bal_cash_outflow_inv,投资活动现金流出差额
spe_bal_cash_outflow_opera,经营活动现金流出差额
spe_bal_netcash_inc_diff_ind,间接法-现金净增加额差额
spe_bal_netcash_incr_diff,现金净增加额差额
spe_bal_netcash_opera_ind,间接法-经营活动现金流量净额差额
statement_type,报表类型
tot_bal_cash_inflow_fin_act,筹资活动现金流入差额
tot_bal_cash_inflow_inv_act,投资活动现金流入差额
tot_bal_cash_inflow_opera_act,经营活动现金流入差额
tot_bal_cash_outflow_fin,筹资活动现金流出差额
tot_bal_cash_outflow_inv,投资活动现金流出差额
tot_bal_cash_outflow_opera,经营活动现金流出差额
tot_bal_netcash_flow_fin,筹资活动产生的现金流量净额差额
tot_bal_netcash_flow_inv,投资活动产生的现金流量净额差额
tot_bal_netcash_flow_opera,经营活动产生的现金流量净额差额
tot_bal_netcash_inc_diff_ind,间接法-现金净增加额差额
tot_bal_netcash_incr_diff,现金净增加额差额
tot_bal_netcash_opera_ind,间接法-经营活动现金流量净额差额
tot_cash_inflow_fin_act,筹资活动现金流入小计
tot_cash_inflow_inv_act,投资活动现金流入小计
tot_cash_inflow_oper_act,经营活动现金流入小计
tot_cash_outflow_fin_act,筹资活动现金流出小计
tot_cash_outflow_inv_act,投资活动现金流出小计
tot_cash_outflow_opera_act,经营活动现金流出小计
unconfirmed_inv_loss,未确认投资损失
use_right_asset_dep,使用权资产折旧
actual_ann_date,实际公告日期
adj_prev_year_loss_gain,调整以前年度损益
amort_cost_fin_assets_ear,以摊余成本计量的金融资产终止确认收益
ann_date,公告日期
basic_eps,基本每股收益
beg_undistributed_pro,年初未分配利润
capitalized_com_stock_div,转作股本的普通股股利
comments,备注
common_stock_div_payable,应付普通股股利
comp_id,公司ID
comp_type_code,公司类型代码
continued_net_opera_pro,持续经营净利润
credit_impair_loss,信用减值损失
currency_code,货币代码
diluted_eps,稀释每股收益
distributive_pro,可分配利润
distributive_pro_shareholder,可供股东分配的利润
div_exp_insur,保户红利支出
ebit,息税前利润
ebitda,息税折旧摊销前利润
employee_welfare,职工奖金福利
end_net_opera_pro,终止经营净利润
ext_insur_cont_rsrv,提取保险责任准备金
ext_unearned_prem_res,提取未到期责任准备金
fin_exp_int_exp,财务费用-利息费用
fin_exp_int_inc,财务费用-利息收入
gain_disposal_assets,资产处置收益
handling_chrg_comm_fee,手续费及佣金收入
incl_inc_inv_jv_entp,其中-对联营企业和合营企业的投资收益
incl_less_loss_disp_ncur_asset,其中-减-非流动资产处置净损失
incl_reinsur_prem_inc,其中-分保费收入
income_tax,所得税
insur_exp,保险业务支出
insur_prem,已赚保费
interest_inc,利息收入
is_calculation,是否计算报表
less_admin_exp,减-管理费用
less_amort_compen_exp,减-摊回赔付支出
less_amort_insur_cont_rsrv,减-摊回保险责任准备金
less_amort_reinsur_exp,减-摊回分保费用
less_assets_impair_loss,减-资产减值损失
less_bus_tax_surcharge,减-营业税金及附加
less_fin_exp,减-财务费用
less_handling_chrg_comm_fee,减-手续费及佣金支出
less_interest_exp,减-利息支出
less_non_opera_exp,减-营业外支出
less_opera_cost,减-营业成本
less_reinsur_prem,减-分出保费
less_selling_exp,减-销售费用
market_code,市场代码
min_int_inc,少数股东损益
net_exposure_hedging_gain,净敞口套期收益
net_handling_chrg_comm_fee,手续费及佣金净收入
net_inc_ec_asset_mgmt_bus,受托客户资产管理业务净收入
net_inc_sec_brok_bus,代理买卖证券业务净收入
net_inc_sec_uw_bus,证券承销业务净收入
net_interest_inc,利息净收入
net_pro_after_ded_nr_gl,扣除非经常性损益后净利润（扣除少数股东损益）
net_pro_after_ded_nr_gl_cor,扣除非经常性损益后的净利润(财务重要指标(更正前))
net_pro_excl_min_int_inc,净利润(不含少数股东损益)
net_pro_incl_min_int_inc,净利润(含少数股东损益)
net_pro_under_int_acc_sta,国际会计准则净利润
opera_exp,营业支出
opera_profit,营业利润
opera_rev,营业收入
oth_assets_impair_loss,其他资产减值损失
oth_bus_cost,其他业务成本
oth_bus_inc,其他业务收入
oth_compre_inc,其他综合收益
oth_income,其他收益
oth_net_opera_inc,其他经营净收益
plus_net_fx_inc,加-汇兑净收益
plus_net_gain_chg_fv,加-公允价值变动净收益
plus_net_inv_inc,加-投资净收益
plus_non_opera_rev,加-营业外收入
plus_oth_net_bus_inc,加-其他业务净收益
preferred_share_div_payable,应付优先股股利
prem_bus_inc,保费业务收入
rd_exp,研发费用
reinsurance_exp,分保费用
report_type,报告期名称
reporting_period,报告期
security_name,证券简称
spe_bal_net_pro_marg,净利润差额(特殊报表科目)
spe_bal_opera_pro_marg,营业利润差额(特殊报表科目)
spe_bal_tot_opera_cost_dif,营业总成本差额(特殊报表科目)
spe_bal_tot_opera_inc_dif,营业总收入差额(特殊报表科目)
spe_bal_tot_pro_marg,利润总额差额(特殊报表科目)
spe_tot_opera_cost_dif_state,营业总成本差额说明(特殊报表科目)
spe_tot_opera_inc_dif_state,营业总收入差额说明(特殊报表科目)
statement_type,报表类型
surr_value,退保金
tot_bal_net_pro_marg,净利润差额(合计平衡项目)
tot_bal_opera_pro_marg,营业利润差额(合计平衡项目)
tot_bal_tot_pro_marg,利润总额差额(合计平衡项目)
tot_compen_exp,赔付总支出
tot_compre_inc,综合收益总额
tot_compre_inc_min_share,综合收益总额(少数股东)
tot_compre_inc_parent_comp,综合收益总额(母公司)
tot_opera_cost,营业总成本
tot_opera_cost2,营业总成本2
tot_opera_rev,营业总收入
total_profit,利润总额
transfer_housing_revo_funds,住房周转金转入
transfer_others,其他转入
transfer_surplus_reserve,盈余公积转入
unconfirmed_inv_loss,未确认投资损失
withdraw_any_surplus_resv,提取任意盈余公积金
withdraw_ent_develop_fund,提取企业发展基金
withdraw_leg_pub_wel_fund,提取法定公益金
withdraw_leg_surplus,提取法定盈余公积
withdraw_resv_fund,提取储备基金
